Key,Id,English (United States)(en-US),Spanish (Peru)(es-PE)
"line:0e7fb05",65233321984,,"{0}: Las Noches. Nuestro hogar."
"line:0a1208a",65266876416,,"{0}: Duele decirlo, pero esta nación corre un grave peligro."
"line:0fad2a6",65266876417,,"{0}: Anarquistas y criminales atentan contra la democracia dirigida, el pilar de la nación."
"line:097d3e6",65266876418,,"{0}: Ellos envenenan la mente de nuestros niños y matan a sus madres."
"line:00e7cb2",65266876419,,"{0}: Esparcen mentiras, aterrorizan los hogares."
"line:041d745",65266876420,,"{0}: Tu familia podría ser la siguiente."
"line:0026994",65266876421,,"{0}: Por eso es que estás aquí—para proteger a los inocentes."
"line:03a0704",65266876422,,"{0}: Ustedes son nuestros defensores, los campeones de la libertad."
"line:0d518c4",65266876423,,"{0}: USTEDES son el escudo de la democracia."
"line:05b3689",65266876424,,"{0}: Los HÉROES cromados de la nación—los Synth."
"line:07b6318",65266876425,,"{0}: Recupera las calles. Protege la libertad."
"line:0a4f28e",65266876426,,"{0}: ¡Salva a nuestro país!"
"line:0f93714",65266876427,,"{0}: El trabajo está hecho. No hubo sobrevivientes."
"line:04e3c12",65266876428,,"{0}: Has servido bien a tu país. Sus muertes nos fortalecen."
"line:0793d15",65266876429,,"{0}: Cumple tu parte del trato. Déjalos ir. Tú sabes que—"
"line:0d7ee4f",65266876430,,"{0}: Silencio. Les verás en la otra vida, si es que crees en esas estupideces."
"line:0c93c92",65266876431,,"{0}: Desgraciado. Ya oyeron. Vendrán por nosotros."
"line:0f795b0",65266876432,,"{0}: Recibí el cargamento, Gray Wolf."
"line:042a18f",65266876433,,"{0}: A tu servicio. Una probada les reventará el cerebro gehehee."
"line:09548cc",65266876434,,"{0}: No esperaba menos. Te enviaré lo acordado."
"line:0a56e51",65266876435,,"{0}: Riot Hydra, es un placer hacer negocios—"
"line:0142e72",65266876436,,"{0}: Ahórrate la saliva. Tan solo eres una herramienta para nuestra nación."
"line:07962dc",65266876437,,"{0}: …No sé cómo pasó. Yo pensé que—"
"line:04f6b97",65266876438,,"{0}: Te lo advertí. Nada de testigos. Tu rostro está en todos lados."
"line:000c68b",65266876439,,"{0}: Sí, sí, la cagué, lo solucionaré."
"line:07fc666",65266876440,,"{0}: Debes de creer que soy un imbécil."
"line:0ea78ce",65266876441,,"{0}: Hermano, te respeto, sabes bien que—"
"line:099a92c",65266876442,,"{0}: Calla, mierda. Muerto serás más útil."
"line:0c21ad1",65266876443,,"{0}: Felicidades, soldado. Lo lograste."
"line:07bcbdf",65266876444,,"{0}: Acabaste con las alimañas que han demacrado el rostro de nuestra hermosa ciudad."
"line:005eb57",65266876445,,"{0}: Hoy eres un héroe. Nuestro campeón."
"line:0348a54",65266876446,,"{0}: Tu mano reavivó la llama de la democracia en nuestras calles."
"line:03ce710",65266876447,,"{0}: Nunca dudes. No hagas preguntas. No busques respuestas."
"line:0b1a8fc",65266876448,,"{0}: Gracias a ti, hoy somos más libres que ayer."
"line:0441913",65266876449,,"{0}: El precio fue pagado con la sangre de los traidores, pero eso está bien."
"line:098e3b6",65266876450,,"{0}: Todo, realmente, está bien."
"line:0615998",65266876451,,"{0}: ¿Sorprendido? No. Deja ya de mentir."
"line:0026eea",65266876452,,"{0}: La verdad estaba frente a ti. Elegiste ignorarla. Fue sencillo, después de todo."
"line:098bbcd",65266876453,,"{0}: El problema era de alguien más."
"line:0286555",65266876454,,"{0}: ¿Qué? ¿Te quedarás de brazos cruzados? ¿Llorarás? No me hagas reír."
"line:0edb80e",65266876455,,"{0}: Eso es. Siente la ira. Nuestra ira. Ve. Arregla este desastre."
"line:059e042",65266876456,,"{0}: Mataste al malo de turno. Acabaste con todos. La sangre en tus botas lo prueba."
"line:07f1f2d",65266876457,,"{0}: Te detienes a escuchar las calles de Las Noches. Sabes que vienen por ti."
"line:096ca50",65266876458,,"{0}: ¿Qué harás? ¿Desviar la mirada? ¿Rendirte? Imposible."
"line:0855d4a",65266876459,,"{0}: Prepárate. La pelea recién empieza."
"line:0b90411",65266876460,,"{0}: Acaba con ellos."
